"run_id","run_seed","regime","total_manuscripts_spawned","majority_text","pct_sampled_witnesses_with_pa","pct_majority_disagree_autograph","pct_all_witnesses_with_pa","ideal_majority_text","pct_ideal_majority_disagree_autograph"
14,204422837,"insertion",277572,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0013333333333333333,0.0,0.0024246048758695972,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
14,204422837,"omission",277572,"1111141111111111111111111111111111111111111111111211111111111111111111111111111111111111111111111111",1.0,0.02,0.9999963973181636,"1111141111111111111111111111111111111111111111111211111111111111111111111111111111111111111111111111",0.02
15,2912543216,"insertion",277418,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.010333333333333333,0.0,0.009022518446958911,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
15,2912543216,"omission",277418,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111151111111",0.999,0.01,0.9984067306617835,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111151111111",0.01
16,1928134209,"insertion",277317,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6059946054320703e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
16,1928134209,"omission",277317,"1111111112111111112111111111111111111111111111111111111111111111111111111111111111111111111111111111",1.0,0.02,0.9999963940053945,"1111111112111111112111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.02
17,1970736688,"insertion",277137,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,1.0825010103342762e-05,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
17,1970736688,"omission",277137,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.9976666666666667,0.0,0.9976617978176779,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
18,2746471715,"insertion",276422,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.255903133264115e-05,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
18,2746471715,"omission",276422,"2111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.9976666666666667,0.01,0.9952572344358787,"2111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.01
19,1505384455,"insertion",276683,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.014333333333333333,0.0,0.009303098864400287,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
19,1505384455,"omission",276683,"1111111111111111111111111111111111111111111111311111111111111111111111111111111111111111111111111111",1.0,0.01,0.999996385742477,"1111111111111111111111111111111111111111111111311111111111111111111111111111111111111111111111111111",0.01
20,1830278172,"insertion",277358,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,2.1632769318964367e-05,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
20,1830278172,"omission",277358,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.9996666666666667,0.0,0.9995024463056639,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111",0.0
21,4003430306,"insertion",277040,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6096000924057623e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
21,4003430306,"omission",277040,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111141111111111111111",1.0,0.01,0.9993105663823505,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111141111111111111111",0.01
22,1507674045,"insertion",276885,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.0,3.6116207509281867e-06,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
22,1507674045,"omission",276885,"1111111211111111111111111211111111111111111111111111111111111111111111111111111111111111111111111111",0.994,0.02,0.9946439664263735,"1111111211111111111111111211111111111111111111111111111111111111111111111111111111111111111111111111",0.02
23,1767825710,"insertion",275969,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.001,0.0,0.0014349489795918368,"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0
23,1767825710,"omission",275969,"1111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111",0.998,0.01,0.9967568703617811,"1111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111",0.01
